2024-12-12,1187
2024-12-11,1187
2024-12-10,1312
2024-12-09,1312
2024-12-08,1312
2024-12-07,1312
2024-12-06,1312
2024-12-05,1312
2024-12-04,1312
2024-12-03,1312
2024-12-02,1312
2024-12-01,1312
2024-11-30,1312
2024-11-29,1312
2024-11-28,1312
2024-11-27,1312
2024-11-26,1312
2024-11-25,1312
2024-11-24,1312
2024-11-23,1312
2024-11-22,1312
2024-11-21,1312
2024-11-20,1312
2024-11-19,1312
2024-11-18,1312
2024-11-17,1312
2024-11-16,1312
2024-11-15,1312
2024-11-14,1312
2024-11-13,1312
2024-11-12,1373
2024-11-11,1377
2024-11-10,1764
2024-11-09,1764
2024-11-08,1764
2024-11-07,1764
2024-11-06,1764
2024-11-05,1764
2024-11-04,1764
2024-11-03,1764
2024-11-02,1764
2024-11-01,1764
2024-10-31,1764
2024-10-30,1764
2024-10-29,1764
2024-10-28,1764
2024-10-27,1764
2024-10-26,1764
2024-10-25,1764
2024-10-24,1857
2024-10-23,1894
2024-10-22,1894
2024-10-21,1886
2024-10-20,1886
2024-10-19,1886
2024-10-18,1886
2024-10-17,1950
2024-10-16,1950
2024-10-15,2054
2024-10-14,2054
2024-10-13,2054
2024-10-12,2054
2024-10-11,2054
2024-10-10,2054
2024-10-09,2128
2024-10-08,2128
2024-10-07,2128
2024-10-06,2429
2024-10-05,2429
2024-10-04,2429
2024-10-03,2429
2024-10-02,2429
2024-10-01,2566
2024-09-30,2566
2024-09-29,2566
2024-09-28,2566
2024-09-27,2566
2024-09-26,2566
2024-09-25,2566
2024-09-24,2724
2024-09-23,2724
2024-09-22,2724
2024-09-21,2724
2024-09-20,2724
2024-09-19,2724
2024-09-18,2724
2024-09-17,2724
2024-09-16,2724
2024-09-15,2724
2024-09-14,2724
2024-09-13,2724
2024-09-12,2724
2024-09-11,2724
2024-09-10,2724
2024-09-09,2724
2024-09-08,2724
2024-09-07,2724
2024-09-06,2724
2024-09-05,2724
2024-09-04,2784
2024-09-03,2956
2024-09-02,2956
2024-09-01,2956
2024-08-31,2956
2024-08-30,2956
2024-08-29,2956
2024-08-28,2956
2024-08-27,3028
2024-08-26,3028
